обнять | @u1 обнял @u2
открыть новое умение | @u1 открыл новое умение для @u2
решить головоломку | @u1 решил головоломку с @u2
активировать ловушку | @u1 активировал ловушку для @u2
прокачать навыки | @u1 прокачал навыки вместе с @u2
применить магию | @u1 применил магию на @u2
сделать хитрый ход | @u1 сделал хитрый ход против @u2
выиграть матч | @u1 выиграл матч против @u2
сдать экзамен | @u1 сдал экзамен вместе с @u2
установить рекорд | @u1 установил рекорд с @u2
договориться о союзе | @u1 договорился о союзе с @u2
узнать секрет | @u1 узнал секрет от @u2
